Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name,LoadedAt
SUMQTR,Summer Quarter,10000A,All Activities,20040B,Academic Terms,SUMQTR,Summer Quarter,SUMQTR,Summer Quarter,SUMQTR,Summer Quarter,SUMQTR,Summer Quarter,2026-07-01 13:38:34.069
202042,France Berkeley,10000A,All Activities,20201B,Funding Allocations,202042,France Berkeley,202042,France Berkeley,202042,France Berkeley,202042,France Berkeley,2026-07-01 13:38:34.069
000000,Default Activity Value,10000A,All Activities,00000B,Default Activity,000000,Default Activity Value,000000,Default Activity Value,000000,Default Activity Value,000000,Default Activity Value,2026-07-01 13:38:34.069
300101,Temp Teaching,10000A,All Activities,30001B,Academic and Instruction,300101,Temp Teaching,300101,Temp Teaching,300101,Temp Teaching,300101,Temp Teaching,2026-07-01 13:38:34.069
202024,Other Faculty Awards,10000A,All Activities,20201B,Funding Allocations,202024,Other Faculty Awards,202024,Other Faculty Awards,202024,Other Faculty Awards,202024,Other Faculty Awards,2026-07-01 13:38:34.069
211033,NUT Nutritional Biology GSA,10000A,All Activities,22100B,Graduate Student Associations and Grad Groups,211033,NUT Nutritional Biology GSA,211033,NUT Nutritional Biology GSA,211033,NUT Nutritional Biology GSA,211033,NUT Nutritional Biology GSA,2026-07-01 13:38:34.069
202011,Faculty Academic Enrichment Prof Develop,10000A,All Activities,20201B,Funding Allocations,202011,Faculty Academic Enrichment Prof Develop,202011,Faculty Academic Enrichment Prof Develop,202011,Faculty Academic Enrichment Prof Develop,202011,Faculty Academic Enrichment Prof Develop,2026-07-01 13:38:34.069
202019,Academic Senate Grants,10000A,All Activities,20201B,Funding Allocations,202019,Academic Senate Grants,202019,Academic Senate Grants,202019,Academic Senate Grants,202019,Academic Senate Grants,2026-07-01 13:38:34.069
200516,Engagement and Outreach,10000A,All Activities,20050B,Departmental Operations,200516,Engagement and Outreach,200516,Engagement and Outreach,200516,Engagement and Outreach,200516,Engagement and Outreach,2026-07-01 13:38:34.069
202055,Academic Federation Grants,10000A,All Activities,20201B,Funding Allocations,202055,Academic Federation Grants,202055,Academic Federation Grants,202055,Academic Federation Grants,202055,Academic Federation Grants,2026-07-01 13:38:34.069
200638,Teaching Assistants,10000A,All Activities,20050B,Departmental Operations,200638,Teaching Assistants,200638,Teaching Assistants,200638,Teaching Assistants,200638,Teaching Assistants,2026-07-01 13:38:34.069
202069,Chancellor Fellow Award,10000A,All Activities,20201B,Funding Allocations,202069,Chancellor Fellow Award,202069,Chancellor Fellow Award,202069,Chancellor Fellow Award,202069,Chancellor Fellow Award,2026-07-01 13:38:34.069
300007,Student Advising,10000A,All Activities,30001B,Academic and Instruction,300007,Student Advising,300007,Student Advising,300007,Student Advising,300007,Student Advising,2026-07-01 13:38:34.069
202044,Salary Savings,10000A,All Activities,20201B,Funding Allocations,202044,Salary Savings,202044,Salary Savings,202044,Salary Savings,202044,Salary Savings,2026-07-01 13:38:34.069
202012,Faculty Start Up,10000A,All Activities,20201B,Funding Allocations,202012,Faculty Start Up,202012,Faculty Start Up,202012,Faculty Start Up,202012,Faculty Start Up,2026-07-01 13:38:34.069
202013,Leadership Support eg Dept Chair,10000A,All Activities,20201B,Funding Allocations,202013,Leadership Support eg Dept Chair,202013,Leadership Support eg Dept Chair,202013,Leadership Support eg Dept Chair,202013,Leadership Support eg Dept Chair,2026-07-01 13:38:34.069
202023,Seed Grant,10000A,All Activities,20201B,Funding Allocations,202023,Seed Grant,202023,Seed Grant,202023,Seed Grant,202023,Seed Grant,2026-07-01 13:38:34.069
200101,Resident Graduate Student Recruiting and Outreach,10000A,All Activities,20010B,Recruiting,200101,Resident Graduate Student Recruiting and Outreach,200101,Resident Graduate Student Recruiting and Outreach,200101,Resident Graduate Student Recruiting and Outreach,200101,Resident Graduate Student Recruiting and Outreach,2026-07-01 13:38:34.069
201537,Centralized Gift Processing,10000A,All Activities,20150B,Development Activities B,201537,Centralized Gift Processing,201537,Centralized Gift Processing,201537,Centralized Gift Processing,201537,Centralized Gift Processing,2026-07-01 13:38:34.069
990002,UC Path Error,10000A,All Activities,99000B,UC Path Errors,990002,UC Path Error,990002,UC Path Error,990002,UC Path Error,990002,UC Path Error,2026-07-01 13:38:34.069
990000,UC Path Default,10000A,All Activities,99000B,UC Path Errors,990000,UC Path Default,990000,UC Path Default,990000,UC Path Default,990000,UC Path Default,2026-07-01 13:38:34.069
202010,Faculty Research,10000A,All Activities,20201B,Funding Allocations,202010,Faculty Research,202010,Faculty Research,202010,Faculty Research,202010,Faculty Research,2026-07-01 13:38:34.069
202037,Base Funded Staff,10000A,All Activities,20201B,Funding Allocations,202037,Base Funded Staff,202037,Base Funded Staff,202037,Base Funded Staff,202037,Base Funded Staff,2026-07-01 13:38:34.069
202052,Matching Funds,10000A,All Activities,20201B,Funding Allocations,202052,Matching Funds,202052,Matching Funds,202052,Matching Funds,202052,Matching Funds,2026-07-01 13:38:34.069
900031,Professional Development,10000A,All Activities,90000B,Agricultural Activities,900031,Professional Development,900031,Professional Development,900031,Professional Development,900031,Professional Development,2026-07-01 13:38:34.069
202102,Classroom Instruction,10000A,All Activities,20201B,Funding Allocations,202102,Classroom Instruction,202102,Classroom Instruction,202102,Classroom Instruction,202102,Classroom Instruction,2026-07-01 13:38:34.069
200569,Assessments,10000A,All Activities,20050B,Departmental Operations,200569,Assessments,200569,Assessments,200569,Assessments,200569,Assessments,2026-07-01 13:38:34.069
202177,NIFA Cost Share,10000A,All Activities,20201B,Funding Allocations,202177,NIFA Cost Share,202177,NIFA Cost Share,202177,NIFA Cost Share,202177,NIFA Cost Share,2026-07-01 13:38:34.069
202075,Library Open Access,10000A,All Activities,20201B,Funding Allocations,202075,Library Open Access,202075,Library Open Access,202075,Library Open Access,202075,Library Open Access,2026-07-01 13:38:34.069
202014,Faculty Bridge Funding,10000A,All Activities,20201B,Funding Allocations,202014,Faculty Bridge Funding,202014,Faculty Bridge Funding,202014,Faculty Bridge Funding,202014,Faculty Bridge Funding,2026-07-01 13:38:34.069
