DOS_Code,Description,IncludeInAD419FTE,IsNewInUCP
8EF,Retro-EPSL-8EF,true,1
901,Retro Regular Pay-Non Base,false,1
92L,Retro Holiday-Premium Hourly,false,
944,Retro Stipend-Admin-Academic,false,1
94H,NRA Retro Regular Pay,false,1
962,Retro Fellowship Qual Non-Tax,false,1
968,Retro Neg Sal Plan-Additional,false,
980,Retro Supplement-Post Doc,false,
98J,NRA Retro Catastrophic Lv Sal,true,
98N,NRA Retro Vacation Leave-SAL,true,
99T,Terminal Vacation-Pay NRA19Ret,false,
9A1,Retro Administrative Leave Hrl,false,1
9AD,Retro Administrative Leave Sal,false,
9AF,Retro Addl Comp-FY Research,false,1
9AS,Retro Addl Comp-Summer-No 403,false,
9CC,Retro Addl Comp-Research,false,1
9CO,Retro - Comp Time Used Hrly,true,1
9ET,Terminal Vacation-Pay NRA18Ret,false,
9HL,Retro Holiday-Regular Hourly,false,1
9HO,Retro Holiday-Regular Salaried,false,1
9HS,Retro HSCP-Negotiated (Y),false,
9J8,NRA Retro Sick Leave Salaried,true,
9JN,Retro Jury Duty-Hourly,true,
9JR,Retro Jury Duty Salaried,true,1
9NC,Retro Negotiated Sal Plan-Reg All,false,
9NE,Retro-EPSL-9NE,true,
9OD,Retro Overtime Pay-Double,false,
9OP,Retro - Overtime Pay Premium,false,1
9OS,Retro - Overtime Pay Straight,false,1
9PB,Retro-PFCB,false,
9PL,Retro-EPSL-9PL,true,
9PO,Retro Paid Time-Off Hourly,false,
9PP,Retro - Premium Pay at Prem,false,
9PS,Retro -Premium Pay at Straight,false,
9R8,NRA Retro Regular Pay,false,1
9R9,NRA Retro - Regular Pay,false,1
9RC,RETRO Paid LV Salar,false,1
9RG,Retro - Regular Pay,false,1
9RT,Retro Paid Time-Off Salaried,true,
9RV,RETRO Paid Lve-Hrly,false,1
9SA,Retro Stipend-Admin-Staff,false,1
9SF,Retro-EPSL-9SF,true,
9SK,Retro Sick Leave Used Sal,true,1
9SL,Retro - Sick Leave-Used Hrly,true,1
9SO,Retro HSCP Off-Scale Earnings,false,
9SP,Retro HSCP-Diff (X Prime),false,
9SR,Retro HSCP-Regular (X),false,
9TM,Terminal Vacation-Pay Retro,false,
9VC,Retro-Vacation Leave-Used Sal,false,1
9VL,Retro Catastrophic Leave Taken,true,
9VN,Retro-Vacation Leave-Used Hrly,false,1
9X0,NRA Retro HOL-Regular Hourly,false,
9X1,NRA Retro HOL-Regular Hourly,false,
A1N,Administrative Leave - Hourly,true,1
A8R,NRA Additional Comp-Research,false,
A9A,NRA Additional Comp-SumNo DCP,false,1
A9N,NRA Additional CompGenNo RTMT,false,
AAP,Academic Award Program,false,
ACA,Additional Comp-Admin,false,1
ACR,Additional Comp-Research,true,0
ACS,Additional Comp-Summer-DCP,false,1
ADC,Additional Comp-General,false,1
ADM,Administrative Leave -Salaried,true,1
AFR,Additional Comp-FY Research,true,0
ASN,Additional Comp-Summer-No DCP,false,1
AWD,Incentive Award,false,0
B2B,Benefits Billing,false,1
C08,NRA Comp-Time-Used Hrly,true,
CCA,Child Care Assistance,false,1
CON,Compensatory Time-Used Hrly,true,1
CRT,Certification Pay,false,1
CTO,Compensatory Time-Used Sal,true,1
CTP,Compensatory Time-Paid,false,1
