Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name,LoadedAt
71549,Dietetic Food Nutrition Steinberg 49029,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71549,Dietetic Food Nutrition Steinberg 49029,71549,Dietetic Food Nutrition Steinberg 49029,2026-07-01 13:38:29.229
P0307,Mars Inc Endowed Chair 122332 42291,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0307,Mars Inc Endowed Chair 122332 42291,P0307,Mars Inc Endowed Chair 122332 42291,2026-07-01 13:38:29.229
71836,Nutrition Research Steinberg 49317,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71836,Nutrition Research Steinberg 49317,71836,Nutrition Research Steinberg 49317,2026-07-01 13:38:29.229
71864,Nutri Research Keen 49345,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,71864,Nutri Research Keen 49345,71864,Nutri Research Keen 49345,2026-07-01 13:38:29.229
37967,Nutrition Schneeman Res Endowed Fd,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,37967,Nutrition Schneeman Res Endowed Fd,37967,Nutrition Schneeman Res Endowed Fd,2026-07-01 13:38:29.229
14806,Grad Stud Supplemental Application Fee 20201,1000A,Unrestricted A,1500B,Designated,1480C,Other Student Fees C,1480D,Other Student Fees D,14806,Grad Stud Supplemental Application Fee 20201,14806,Grad Stud Supplemental Application Fee 20201,2026-07-01 13:38:29.229
P0949,Lingle Family Scholarship 124319 50072,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0949,Lingle Family Scholarship 124319 50072,P0949,Lingle Family Scholarship 124319 50072,2026-07-01 13:38:29.229
36996,Kristen Maxwell Memorial Award,2000A,Restricted Expendable,2200B,Restricted Gifts B,7000C,Restricted Endowment Income,7700D,Restricted Endowment Income Regents,36996,Kristen Maxwell Memorial Award,36996,Kristen Maxwell Memorial Award,2026-07-01 13:38:29.229
63015,KFS Conversion Gift Fund,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,63015,KFS Conversion Gift Fund,63015,KFS Conversion Gift Fund,2026-07-01 13:38:29.229
66942,Nutr Ctr For Nutrition In Schools 43893,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,66942,Nutr Ctr For Nutrition In Schools 43893,66942,Nutr Ctr For Nutrition In Schools 43893,2026-07-01 13:38:29.229
76780,SPLASH Fund,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76780,SPLASH Fund,76780,SPLASH Fund,2026-07-01 13:38:29.229
P0102,Campbell Soup Nutrition Fellowship 111873 40209,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,P000D,Restricted Gift Funds UC Davis Foundation Endowment Payout,P0102,Campbell Soup Nutrition Fellowship 111873 40209,P0102,Campbell Soup Nutrition Fellowship 111873 40209,2026-07-01 13:38:29.229
76959,Clinical Lactation Program Support Fund,2000A,Restricted Expendable,2200B,Restricted Gifts B,6000C,Restricted Expendable Gifts,6300D,Restricted Gift Funds UC Davis,76959,Clinical Lactation Program Support Fund,76959,Clinical Lactation Program Support Fund,2026-07-01 13:38:29.229
