Code,Description,ParentLevel0Code,ParentLevel0Name,ParentLevel1Code,ParentLevel1Name,ParentLevel2Code,ParentLevel2Name,ParentLevel3Code,ParentLevel3Name,ParentLevel4Code,ParentLevel4Name,ParentLevel5Code,ParentLevel5Name
00,Purpose Default,1A,Purpose Categories,PD,Purpose Value Default,,,,,,,,
40,Instruction Dept Research,1A,Purpose Categories,1C,Instruction C,,,,,,,,
41,Summer Session,1A,Purpose Categories,1C,Instruction C,,,,,,,,
42,Teaching Hospitals,1A,Purpose Categories,1E,Teaching Hospitals B,,,,,,,,
43,Academic Support,1A,Purpose Categories,1B,Academic Support B,,,,,,,,
44,Research,1A,Purpose Categories,1D,Organized Research D,,,,,,,,
45,AES Research,1A,Purpose Categories,1D,Organized Research D,,,,,,,,
60,Libraries,1A,Purpose Categories,1B,Academic Support B,,,,,,,,
61,University Extension,1A,Purpose Categories,1C,Instruction C,,,,,,,,
62,Public Service,1A,Purpose Categories,1F,Public Service B,,,,,,,,
64,Operations Maintenance of Plant,1A,Purpose Categories,1G,Operations Maintenance of Plant B,,,,,,,,
65,Depreciation,1A,Purpose Categories,1H,Depreciation B,,,,,,,,
66,Impairment,1A,Purpose Categories,1I,Impairment B,,,,,,,,
68,Student Services,1A,Purpose Categories,1J,Student Services B,,,,,,,,
72,Institutional Support General Administration,1A,Purpose Categories,1L,Institutional Support General Administration B,,,,,,,,
76,Auxiliary Enterprises,1A,Purpose Categories,1M,Auxiliary Enterprises B,,,,,,,,
78,Student Financial Aid,1A,Purpose Categories,1K,Student Financial Aid B,,,,,,,,
80,Provisions for Allocations,1A,Purpose Categories,1P,Provisions for Allocations B,,,,,,,,
